name,height (cm),longevity (years),place of origin,color,climate,cut flowers,perfumes,medicine,average number of petals
Rose,60-150,1-2,"Europe, Asia","Red, pink, white",Temperate,1,1,1,5-9
Tulip,20-70,2-3,Central Asia,"Red, pink, white",Temperate,1,0,1,3-7
Daisy,15-60,1-2,"Europe, Asia","White, yellow",Temperate,1,0,1,10-20
Sunflower,50-300,1-2,North and South America,"Yellow, orange",Temperate to tropical,1,0,1,10-20
Orchid,20-100,5-10,Worldwide,"Purple, pink, white",Tropical,1,1,1,3-50
Jasmine,60-180,5-10,Asia,"White, yellow",Tropical,1,1,1,5-9
Lavender,30-90,2-3,Mediterranean region,Purple,Temperate,1,1,1,5-7
Marigold,20-60,1-2,South and Central America,"Orange, yellow",Tropical to temperate,1,0,1,5-12
Chrysanthemum,30-100,2-3,Asia,"Red, white, yellow",Temperate,1,0,1,5-9
Daffodil,20-70,2-3,"Europe, Asia","Yellow, white",Temperate,1,0,1,3-7
Freesia,20-60,1-2,South Africa,"Red, pink, white",Temperate,1,1,0,4-10
Iris,20-100,2-3,"Europe, Asia","Purple, blue, white",Temperate to tropical,1,0,1,3-8
Lily,20-100,2-3,Asia,"White, yellow, pink",Temperate to tropical,1,1,1,3-10
Peony,50-100,2-3,Asia,"Red, pink, white",Temperate,1,1,1,5-8
Gardenia,30-100,5-10,Asia,"White, yellow",Tropical,1,1,1,5-8
Gladiolus,60-180,2-3,Africa,"Red, pink, white",Tropical,1,0,1,3-8
Hyacinth,20-40,2-3,Europe,"Blue, pink, white",Temperate,1,0,1,4-6
Lilac,100-200,5-10,Asia,"Purple, pink, white",Temperate,1,0,1,5-10
Narcissus,20-70,2-3,Europe,"Yellow, white",Temperate,1,1,1,3-7
Poppy,30-100,1-2,"Europe, Asia","Red, pink, white",Temperate,1,0,1,4-6
Snapdragon,30-100,2-3,"Europe, Asia","Red, pink, white",Temperate,1,0,1,5-10
Violet,20-40,1-2,"Europe, Asia","Purple, white",Temperate,1,0,1,5-10
